user_input,reference_contexts,reference,synthesizer_name
"Rivian Automotive, Inc.의 설립 연도와 주요 사업 분야는 무엇입니까?","['Rivian Automotive, Inc.는 2009년에 설립된 미국의 전기 자동차 제조업체, 자동차 기술 및 야외 레크리에이션 회사입니다.\n\n**주요 정보:**']","Rivian Automotive, Inc.는 2009년에 설립된 미국의 전기 자동차 제조업체이며, 자동차 기술과 야외 레크리에이션 분야에서도 활동하는 회사입니다.",single_hop_specifc_query_synthesizer
168억 미국 달러는 리브니의 무슨 항목에 해당합니까?,"['- **회사 유형:** 상장\n- **거래소:** NASDAQ: RIVN\n- **설립:** 2009년 6월, 플로리다 주 록ledge\n- **설립자:** R. J. 스캐린지\n- **본사:** 미국 캘리포니아 주 어바인\n- **서비스 지역:** 북미\n- **주요 인물:** R. J. 스캐린지 (CEO)\n- **제품:** 전기 자동차, 배터리\n- **생산량 (2023):** 57,232대\n- **서비스:** 전기 자동차 충전, 자동차 보험\n- **수익 (2023):** 44억 3천만 미국 달러\n- **순이익 (2023):** -54억 미국 달러\n- **총 자산 (2023):** 168억 미국 달러']",168억 미국 달러는 2023년 기준 리브니의 총 자산에 해당합니다.,single_hop_specifc_query_synthesizer
2023년 기준 Rivian의 직원 수는 몇 명입니까?,"['- **총 자본 (2023):** 91억 4천만 미국 달러\n- **직원 수 (2023년 12월):** 16,790명\n- **웹사이트:** rivian.com']","2023년 12월 기준 Rivian의 직원 수는 16,790명입니다.",single_hop_specifc_query_synthesizer
세르비아에 리비안 공장 있나요? 어디 위치해요?,"['**개요**\n\nRivian은 ""스케이트보드"" 플랫폼(R1T 및 R1S 모델)을 기반으로 한 전기 스포츠 유틸리티 차량(SUV), 픽업 트럭 및 전기 배달 밴(Rivian EDV)을 생산합니다. R1T 배송은 2021년 말에 시작되었습니다. 회사는 2022년에 미국에서 충전 네트워크를 시작하여 2024년에 다른 차량에도 개방했습니다. 생산 공장은 일리노이 주 노멀에 있으며, 다른 시설은 미국, 캐나다, 영국 및 세르비아의 여러 주에 있습니다.\n\n**역사**\n\n**초창기 (2009–15):**']","리비안의 생산 공장은 일리노이 주 노멀에 있으며, 다른 시설들은 미국, 캐나다, 영국 및 세르비아의 여러 주에 위치해 있습니다.",single_hop_specifc_query_synthesizer
Mainstream Motors의 설립 배경과 이후 사명 변경 과정은 어떻게 이루어졌습니까?,"['- 2009년 R. J. 스캐린지가 Mainstream Motors로 설립.\n- 2011년 Rivian Automotive로 사명 변경.\n- 처음에는 스포츠카 프로토타입(R1)에 집중했지만 전기 및 자율 주행 차량으로 전환.\n\n**생산 준비 (2016–20):**\n\n- 2017년 일리노이 주 노멀에 있는 이전 Mitsubishi Motors 제조 공장을 1,600만 달러에 인수.\n- 2017년 12월, 첫 두 제품인 R1T (픽업 트럭)와 R1S (SUV)를 공개.\n- 생산은 2020년에 시작될 예정.\n\n**첫 모델 배송; IPO; 감원 및 확장 (2021–24):**']","Mainstream Motors는 2009년 R. J. 스캐린지에 의해 설립되었으며, 2011년에 Rivian Automotive로 사명이 변경되었습니다. 초기에는 스포츠카 프로토타입인 R1에 집중했으나 이후 전기 및 자율 주행 차량으로 사업 방향을 전환하였습니다.",single_hop_specifc_query_synthesizer
2022년 3월에 Rivian이 발표한 주요 조치는 무엇입니까?,"['- R1T 배송은 2021년 9월에 시작되어 Rivian은 완전 전기 픽업을 소비자 시장에 출시한 최초의 자동차 제조업체가 됨.\n- 2021년 11월, Rivian은 IPO를 통해 135억 달러를 조달하여 상장 회사가 됨.\n- Ford와 Rivian은 전기 자동차 공동 개발 계획을 취소.\n- 2022년 3월, Rivian은 부품 비용으로 인해 R1T 및 R1S의 가격 인상을 발표했으며, 이후 소급 적용에 대해 사과.\n- 2022년 7월, Rivian은 6%의 인력 감축을 발표.\n- 2022년 9월, 유럽에서 전기 밴을 생산하기 위해 Mercedes-Benz Group과 합작 투자를 발표했지만 나중에 취소됨.']","2022년 3월에 Rivian은 부품 비용 상승으로 인해 R1T 및 R1S 모델의 가격 인상을 발표했으며, 이후 소급 적용에 대해 사과했습니다.",single_hop_specifc_query_synthesizer
"2023년 6월 Rivian이 인수한 ""A Better Route Planner""(ABRP) EV 경로 계획 앱이 북미 전기차 시장에서 Rivian의 경쟁력에 어떤 영향을 미칠 것으로 분석하십니까?","['- 2022년 10월, 느슨한 토크 볼트로 인해 13,000대의 차량을 자발적으로 리콜.\n- 2023년 6월, Tesla의 북미 충전 시스템(NACS) 채택을 발표.\n- 2023년 6월, ""A Better Route Planner""(ABRP) EV 경로 계획 앱을 개발한 Iternio 인수.\n- 2023년 10월, Amazon과의 독점 계약을 종료하여 Rivian이 다른 상업 고객에게 공급할 수 있도록 허용.\n- 2024년 2월, 급여 직원 10% 감축 발표.\n- 2024년 3월, 더 작은 가격대의 R2 SUV 및 R3 공개.']","2023년 6월 Rivian은 EV 경로 계획 앱인 ""A Better Route Planner""(ABRP)를 개발한 Iternio를 인수하였습니다. 이 인수는 Rivian이 전기차 사용자에게 보다 효율적이고 최적화된 경로 계획 서비스를 제공할 수 있게 하여, 북미 전기차 시장에서의 경쟁력을 강화하는 데 기여할 것으로 보입니다.",single_hop_specifc_query_synthesizer
"2026년에 출시될 Rivian의 전기차 모델은 무엇이며, 그 특징은 어떻게 되나요?","['**Volkswagen과의 파트너십 (2024)**\n\n- 2024년 6월, Volkswagen Group은 전기 아키텍처 및 소프트웨어 기술 개발을 목표로 Rivian에 최대 50억 달러를 투자할 의향을 발표.\n\n**차량**\n\n- **R1T:** 4개의 전기 모터가 장착된 픽업 트럭. 배터리 크기는 105 kWh에서 180 kWh까지 다양함.\n- **R1S:** 첫 번째 Rivian 플랫폼의 스포츠 유틸리티 차량(SUV) 버전.\n- **Electric Delivery Van (EDV):** 상업용 전기 밴으로, 주로 Amazon용으로 설계되어 사용됨.\n- **R2:** 더 작고 저렴한 SUV로, 새로운 플랫폼에서 2026년 초에 출시될 예정.\n- **R3:** 출시 예정인 전기 소형 SUV.']",2026년 초에 Rivian은 더 작고 저렴한 SUV인 R2 모델을 새로운 플랫폼에서 출시할 예정입니다.,single_hop_specifc_query_synthesizer
북미 충전 시스템(NACS)에 대해 Rivian이 계획한 내용은 무엇인가요?,['**EV 충전**\n\nRivian은 미국과 캐나다 전역에 공공 충전소 네트워크를 개발하고 있습니다. Rivian은 2021년에 Waypoint 충전기 설치를 시작했지만 2023년 4월에 Rivian Adventure Network가 Rivian 이외의 차량에도 개방될 것이라고 발표되었습니다. Rivian은 또한 2025년 모델 연도부터 북미에서 차량에 북미 충전 시스템(NACS)을 채택할 예정입니다.\n\n**시설**'],Rivian은 2025년 모델 연도부터 북미에서 차량에 북미 충전 시스템(NACS)을 채택할 예정입니다.,single_hop_specifc_query_synthesizer
"Normal, Illinois의 역할은 무엇입니까?","['- **Irvine, California:** 차량 엔지니어링 및 설계에 중점을 둔 본사.\n- **Normal, Illinois:** 차량 부품을 생산하고 조립을 수행하는 제조 공장.\n- **Plymouth, Michigan:** 차량 엔지니어링, 프로토타입 제작, 공급망 및 회계에 중점을 둡니다.\n- **Palo Alto, California:** 소프트웨어 개발 및 엔지니어링에 중점을 둡니다.\n- Carson, California 및 Woking, England에 추가 사무실이 있습니다.\n- 애틀랜타 동쪽에 있는 새로운 50억 달러 규모의 배터리 및 조립 공장은 보류 중입니다.\n\n**재정**\n\nRivian의 재무 성과는 상당한 수익 성장과 상당한 순손실로 특징지어집니다.']","Normal, Illinois는 차량 부품을 생산하고 조립을 수행하는 제조 공장입니다.",single_hop_specifc_query_synthesizer
